# account_no,type,amount,balance,time
638730,credit,3.0,4.0,2025-09-13 23:23:56
638730,debit,3.0,1.0,2025-09-13 23:24:04
498314,credit,3.0,6.0,2025-09-14 00:52:05
638730,debit,3.0,4.0,2025-09-14 00:52:05
638730,credit,1.0,5.0,2025-09-14 01:25:10
638730,credit,2.0,7.0,2025-09-14 10:47:15
638730,debit,1.0,6.0,2025-09-14 10:47:34
638730,debit,2.0,4.0,2025-09-14 10:48:44
498314,credit,2.0,8.0,2025-09-14 10:48:44
357813,closure,0,0,2025-09-14 12:43:39
498314,credit,1.0,9.0,2025-09-14 12:44:50
498314,debit,1.0,8.0,2025-09-14 12:45:02
498314,debit,1.0,7.0,2025-09-14 12:46:43
638730,credit,1.0,5.0,2025-09-14 12:46:43
404679,credit,500.0,1500.0,2025-09-14 16:31:54
404679,debit,500.0,1000.0,2025-09-14 16:32:21
404679,debit,200.0,800.0,2025-09-14 16:33:43
498314,credit,200.0,207.0,2025-09-14 16:33:43
404679,debit,800.0,0.0,2025-09-14 16:36:32
404679,closure,0,0,2025-09-14 16:36:35
161201,credit,100.0,600.0,2025-09-14 16:52:09
161201,debit,100.0,500.0,2025-09-14 16:52:29
161201,debit,200.0,300.0,2025-09-14 16:55:14
638730,credit,200.0,205.0,2025-09-14 16:55:14
